model,variant,test_balanced_accuracy,test_f1,test_precision,test_recall,test_roc_auc,test_dummy_baseline_accuracy,loso_mean_balanced_accuracy,cv_balanced_accuracy_mean
svm,filtered_normalized,0.98818407960199,0.9880427942101953,1.0,0.97636815920398,0.9998517391467688,0.6975169300225733,0.8622220335848336,0.8283386439275953
random_forest,filtered_normalized,0.9879969086605808,0.9868173258003766,0.9961977186311788,0.9776119402985076,0.999725616791984,0.6975169300225733,0.8246787335337838,0.7930654698962775
xgboost,filtered_normalized,0.9845352525398896,0.9836065573770492,0.9974424552429668,0.9701492537313432,0.9996363919346096,0.6975169300225733,0.8418426315453745,0.8058981412479186
knn,filtered_normalized,0.9833739876668436,0.9817265280403276,0.9948914431673052,0.968905472636816,0.9989064923494716,0.6975169300225733,0.8013825665979716,0.754857831188508
decision_tree,filtered_normalized,0.9811118356437876,0.9750312109862672,0.9786967418546366,0.9713930348258708,0.973242605741519,0.6975169300225733,0.8054163977720715,0.7877144805579313
logistic_regression,filtered_normalized,0.9399241655798676,0.9342105263157896,0.9916201117318436,0.8830845771144279,0.9969167109436636,0.6975169300225733,0.8496723500799045,0.8066267748227552
logistic_regression,filtered,0.9303301453895572,0.8996923076923077,0.8903775883069428,0.9092039800995024,0.9803805943314712,0.6975169300225733,0.6708851922892474,0.6631313164380805
logistic_regression,raw,0.9018539986153375,0.8518738845925045,0.8164196123147093,0.8905472636815921,0.9642054023303118,0.6975169300225733,0.7149105772548019,0.718322641850825
xgboost,filtered,0.8908451271152329,0.8193300384404174,0.7335299901671584,0.927860696517413,0.9335201017565892,0.6975169300225733,0.6679095550604982,0.6364497227060408
svm,filtered,0.8850086138884863,0.8410513141426783,0.8463476070528967,0.835820895522388,0.9521197947694108,0.6975169300225733,0.6214788407628185,0.5855727333171078
random_forest,filtered,0.8785622856590832,0.8145580589254766,0.7605177993527508,0.8768656716417911,0.945044196493262,0.6975169300225733,0.659026278622945,0.6427986251711585
xgboost,raw,0.8668610829348403,0.793935991016283,0.7236438075742068,0.8793532338308457,0.927364928324934,0.6975169300225733,0.6409286660772785,0.6456696874481358
random_forest,raw,0.865166481508316,0.7960941987363584,0.7395944503735326,0.8619402985074627,0.9371259935489756,0.6975169300225733,0.6511552217750589,0.6424004806805169
svm,raw,0.8561802637298942,0.7941888619854721,0.7735849056603774,0.8159203980099502,0.9320884788570633,0.6975169300225733,0.6216739146069633,0.5914593240869939
knn,raw_windows,0.8559790046531098,0.8186173853524983,0.9101978691019786,0.7437810945273632,0.8839845406194486,0.6975169300225733,0.5127408620149884,0.4839266784453309
knn,filtered,0.8413776586324043,0.792225201072386,0.8590116279069767,0.7350746268656716,0.9389574511477136,0.6975169300225733,0.5496037176530999,0.5243041589757089
xgboost,raw_windows,0.8311074079440983,0.7342410489157841,0.6174724342663274,0.9054726368159204,0.9089510645263436,0.6975169300225733,0.5958320946653163,0.6166452457745948
knn,raw,0.8284769518105266,0.7697368421052632,0.8170391061452514,0.7276119402985075,0.9218718972558996,0.6975169300225733,0.5545570678653381,0.5225996914968747
svm,raw_windows,0.820311871065385,0.735014005602241,0.6687054026503568,0.8159203980099502,0.8946727393238768,0.6975169300225733,0.5946123660455879,0.5547651409854195
random_forest,raw_windows,0.8147893219984221,0.7157258064516129,0.6016949152542372,0.8830845771144279,0.90648094479061,0.6975169300225733,0.5891800743836995,0.5930484739251971
decision_tree,raw,0.8061573201951409,0.696969696969697,0.5524017467248908,0.9440298507462688,0.8617521212706691,0.6975169300225733,0.6624139381052639,0.5982320240857895
decision_tree,filtered,0.7848862483698015,0.6938300349243306,0.6520787746170679,0.7412935323383084,0.7880530599430035,0.6975169300225733,0.7071661777988058,0.6235583809044888
decision_tree,raw_windows,0.7509539680239579,0.6370494551550713,0.4804045512010114,0.945273631840796,0.7484234705651891,0.6975169300225733,0.5661379958006211,0.5860215073758809
logistic_regression,raw_windows,0.7219847365116167,0.6113249037932931,0.547783251231527,0.6915422885572139,0.8292356985300038,0.6975169300225733,0.5409868576222139,0.5303821914932831
